mainData_articul;configCard_section;mainData_name;mainData_description;mainData_price;mainData_oldPrice;characteristic_width;characteristic_picture;characteristic_color;characteristic_counryOfOrigin;characteristic_composition;characteristic_weight;seoTags_header;seoTags_description;seoTags_keyWords
П-цп-2;Премиальный хлопок;Перкаль белый мишка на мятно-голубом;Премиальный польский перкаль с цифровой печатью. Дополнительно смягчен и обработан от сминаемости.<br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;527;690;155;Зверята;Голубой;Польша;100% хлопок;153гр;;;
П-цп-3;Премиальный хлопок;Перкаль белый мишка на синем;Премиальный польский перкаль с цифровой печатью. Дополнительно смягчен и обработан от сминаемости.<br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;527;690;155;Зверята;Синий;Польша;100% хлопок;153гр;;;
П-цп-5;Премиальный хлопок;Перкаль круги с имитацией золота;Премиальный польский перкаль с цифровой печатью. Дополнительно смягчен и обработан от сминаемости.<br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;690;;155;Геометрия;Мультицвет;Польша;100% хлопок;153гр;;;
П-цп-6;Премиальный хлопок;Перкаль птички на мятном;Премиальный польский перкаль с цифровой печатью. Дополнительно смягчен и обработан от сминаемости.<br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;527;690;155;Птицы и бабочки;Мультицвет;Польша;100% хлопок;153гр;;;
П-цп-9;Премиальный хлопок;Перкаль туканы;Премиальный польский перкаль с цифровой печатью. Дополнительно смягчен и обработан от сминаемости.<br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;527;690;155;Птицы и бабочки;Мультицвет;Польша;100% хлопок;153гр;;;
П-цп-13;Премиальный хлопок;Сатин хлопок мятный;Премиальный польский сатин с цифровой печатью. Дополнительно смягчен и обработан от сминаемости.<br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;527;690;155;Цветы и растения;Мультицвет;Польша;100% хлопок;153гр;;;
П-цп-14;Премиальный хлопок;Сатин цветы акварельные;Премиальный польский сатин с цифровой печатью. Дополнительно смягчен и обработан от сминаемости.<br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.<br /><br />;527;690;155;Цветы и растения;Мультицвет;Польша;100% хлопок;153гр;;;
П-цп-15;Премиальный хлопок;Сатин супердевочки;Премиальный польский сатин с цифровой печатью. Дополнительно смягчен и обработан от сминаемости.<br /><br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;527;690;155;Девочки;Мультицвет;Польша;100% хлопок;153гр;;;
П-пр-3;Премиальный хлопок;Перкаль звезды серебро;Ткань с серебряным напылением<br /><br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;359;480;160;Звезды;Серебряный;Польша;100% хлопок;115гр.;;;
П-пр-5;Премиальный хлопок;Перкаль орнамент золотой;Ткань с золотым напылением<br /><br />Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;319;480;160;Геометрия;Золотой;Польша;100% хлопок;115гр.;;;
